image_name,grading,fruit_type
Banana100_brightness_cropped.png,8.382352941,Banana
Banana100_contrast_cropped.png,8.382352941,Banana
Banana100_erosion_cropped.png,8.382352941,Banana
Banana100_original_cropped.png,8.382352941,Banana
Banana100_remove_regions_cropped.png,8.382352941,Banana
Banana100_rotate90_cropped.png,8.382352941,Banana
Banana100_rotate_cropped.png,8.382352941,Banana
Banana101_brightness_cropped.png,8.366013072,Banana
Banana101_contrast_cropped.png,8.366013072,Banana
Banana101_erosion_cropped.png,8.366013072,Banana
Banana101_original_cropped.png,8.366013072,Banana
Banana101_remove_regions_cropped.png,8.366013072,Banana
Banana101_rotate90_cropped.png,8.366013072,Banana
Banana101_rotate_cropped.png,8.366013072,Banana
Banana102_brightness_cropped.png,8.349673203,Banana
Banana102_contrast_cropped.png,8.349673203,Banana
Banana102_erosion_cropped.png,8.349673203,Banana
Banana102_original_cropped.png,8.349673203,Banana
Banana102_remove_regions_cropped.png,8.349673203,Banana
Banana102_rotate90_cropped.png,8.349673203,Banana
Banana102_rotate_cropped.png,8.349673203,Banana
Banana103_brightness_cropped.png,8.333333333,Banana
Banana103_contrast_cropped.png,8.333333333,Banana
Banana103_erosion_cropped.png,8.333333333,Banana
Banana103_original_cropped.png,8.333333333,Banana
Banana103_remove_regions_cropped.png,8.333333333,Banana
Banana103_rotate90_cropped.png,8.333333333,Banana
Banana103_rotate_cropped.png,8.333333333,Banana
Banana104_brightness_cropped.png,8.316993464,Banana
Banana104_contrast_cropped.png,8.316993464,Banana
Banana104_erosion_cropped.png,8.316993464,Banana
Banana104_original_cropped.png,8.316993464,Banana
Banana104_remove_regions_cropped.png,8.316993464,Banana
Banana104_rotate90_cropped.png,8.316993464,Banana
Banana104_rotate_cropped.png,8.316993464,Banana
Banana105_brightness_cropped.png,8.300653595,Banana
Banana105_contrast_cropped.png,8.300653595,Banana
Banana105_erosion_cropped.png,8.300653595,Banana
Banana105_original_cropped.png,8.300653595,Banana
Banana105_remove_regions_cropped.png,8.300653595,Banana
Banana105_rotate90_cropped.png,8.300653595,Banana
Banana105_rotate_cropped.png,8.300653595,Banana
Banana106_brightness_cropped.png,8.284313725,Banana
Banana106_contrast_cropped.png,8.284313725,Banana
Banana106_erosion_cropped.png,8.284313725,Banana
Banana106_original_cropped.png,8.284313725,Banana
Banana106_remove_regions_cropped.png,8.284313725,Banana
Banana106_rotate90_cropped.png,8.284313725,Banana
Banana106_rotate_cropped.png,8.284313725,Banana
Banana107_brightness_cropped.png,8.267973856,Banana
Banana107_contrast_cropped.png,8.267973856,Banana
Banana107_erosion_cropped.png,8.267973856,Banana
Banana107_original_cropped.png,8.267973856,Banana
Banana107_remove_regions_cropped.png,8.267973856,Banana
Banana107_rotate90_cropped.png,8.267973856,Banana
Banana107_rotate_cropped.png,8.267973856,Banana
Banana108_brightness_cropped.png,8.251633987,Banana
Banana108_contrast_cropped.png,8.251633987,Banana
Banana108_erosion_cropped.png,8.251633987,Banana
Banana108_original_cropped.png,8.251633987,Banana
Banana108_remove_regions_cropped.png,8.251633987,Banana
Banana108_rotate90_cropped.png,8.251633987,Banana
Banana108_rotate_cropped.png,8.251633987,Banana
Banana109_brightness_cropped.png,8.235294118,Banana
Banana109_contrast_cropped.png,8.235294118,Banana
Banana109_erosion_cropped.png,8.235294118,Banana
Banana109_original_cropped.png,8.235294118,Banana
Banana109_remove_regions_cropped.png,8.235294118,Banana
Banana109_rotate90_cropped.png,8.235294118,Banana
Banana109_rotate_cropped.png,8.235294118,Banana
Banana10_brightness_cropped.png,9.852941176,Banana
